Entry,Part of Speech,Family Member(s),Family PoS,Meaning,Rec/Prod
turn (sb/sth) into sb/sth,,,,,Rec
uncomfortable,adj,,,,Prod
underline,v,,,emphasize,Prod
underneath,"prep, adv",,,,Prod
understand,v,"understanding; understanding","n, adj",know feelings; sympathy; sympathetic,Prod
undo,v,,,,Rec
undressed,adj,,,,Prod
unemployed,adj,,,,Prod
unexpected,adj,,,,Prod
unfortunately,adv,unfortunate,adj,,Rec
unhealthy,adj,,,,Prod
union,n,,,workers,Prod
unique,adj,,,,Rec
united,adj,"unity; unite","n; v",,Prod
universe,n,universal,adj,,Rec
unknown,adj,,,,Prod
unlike,prep,,,,Prod
unlikely,adj,,,,Prod
unpack,v,,,,Rec
up-to-date,,,,,Rec
urban,adj,,,,Prod
urgent,adj,urgently,adv,,Prod
use up sth or use sth up,,,,,Prod
use,"n, v",,,the way a word is used; to say or write a particular word,Rec
van,n,,,,Rec
vary,v,variation,n,,Rec
verse,n,,,poetry; part of poem/song,Rec
